Cost Center,Item1,Item2,Frequency,Total Revenue
Hospital A,FRUIT CUPS,SPECIALITY EGGS,120,1256.9100034236908
Hospital A,BOILED EGG CUP,FRUIT CUPS,115,1236.6200032234192
Hospital B,BAKED SWEET POTATO,ENTREE 4.99,52,1222.2999649047852
Hospital A,2 FOR 2.49,FRUIT CUPS,89,1202.740002632141
Hospital A,ADD A BEVERAGE $1,BREAKFAST SANDWICH,240,1193.4900252819061
Hospital B,ENTREE 4.29,TOPO CHICO TWIST OF LIME 20OZ,181,1182.6899862289429
Hospital B,ENTREE 4.29,SOUP 8 OZ,188,1162.109994649887
Hospital B,COFFEE 12OZ,SAUSAGE PATTY,165,1154.1599795818329
Hospital A,ADD A BEVERAGE $1,BEYOND BURGER,52,1143.4399642944336
Hospital B,MIX IT UP SALAD,SIDE 1.29,130,1140.4399671554565
Hospital B,BACON 3 SLICES,HASH BROWNS,217,1111.4899740219116
Hospital B,ENTREE 4.79,SOUP 8 OZ,155,1107.1299953460693
Hospital B,ENTREE 4.79,SMARTWATER 1L,65,1106.3499963283539
Hospital B,COFFEE 12OZ,OMELET,140,1103.759997367859
Hospital B,REFRIED BEANS,SAUSAGE PATTY,237,1102.1599714756012
Hospital A,BEYOND BURGER,TATOR TOTS,47,1077.1299681663513
Hospital B,FRIES SWEET POTATO,QUESADILLA MEAT,84,1069.6999869346619
Hospital B,BACON 3 SLICES,PANCAKE 1,164,1051.9099938869476
Hospital B,ONION RINGS,QUESADILLA MEAT,94,1040.119990825653
Hospital B,ENTREE 4.29,ENTREE 4.79,121,1030.8299913406372
Hospital B,COFFEE 16OZ,SAUSAGE PATTY,135,1012.039966583252
Hospital B,HASH BROWNS,SAUSAGE PATTY,168,1011.3599700927734
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,ENTREE 4.79,137,991.4099893569946
Hospital B,DASANI WATER 20OZ,ENTREE 4.29,169,965.4399952888489
Hospital A,ADD A BEVERAGE $1,SALAD CHEF,113,946.3899745941162
Hospital B,BACON 3 SLICES,OMELET,133,925.4999949932098
Hospital B,ENTREE 5.99,SIDE 1.29,77,923.9199657440186
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,ENTREE 4.99,54,917.0699615478516
Hospital B,CARVED-DELI,GOURMET CAKE,87,916.2199809551239
Hospital A,BREAKFAST SANDWICH,FRUIT CUPS,78,909.9000096321106
Hospital B,MIX IT UP SALAD,WATER SMARTWATER 20OZ,82,901.5899868011475
Hospital B,COFFEE 16OZ,HOME FRIES,127,896.8599700927734
Hospital B,SIDE 1.29,WATER SMARTWATER 20OZ,190,893.5200028419495
Hospital B,ENTREE 4.29,WATER SMARTWATER 20OZ,119,887.9700031280518
Hospital B,COFFEE 20OZ,EGGS,143,881.0299934148788
Hospital B,ENTREE 4.99,SOUP 8 OZ,49,879.9299647808075
Hospital B,BAKED SWEET POTATO,ENT -PREMIUM SIDE 1.39,94,879.2800022363663
Hospital B,QUESADILLA MEAT,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,71,860.4699816703796
Hospital A,ADD A BEVERAGE $1,STIR FRY,34,849.9799766540527
Hospital A,FRUIT CUPS,WHOLE AVOCADO,70,849.9199962615967
Hospital B,BACON 1 SLICE,SAUSAGE PATTY,204,847.6199795007706
Hospital B,BREAKFAST TACO,EGGS,188,844.6999968290329
Hospital B,GOURMET CAKE,QUESADILLA MEAT,73,835.1100022792816
Hospital B,QUESADILLA MEAT,TOPO CHICO TWIST OF LIME 20OZ,70,834.3899793624878
Hospital B,EGGS,PANCAKE 1,165,833.990008354187
Hospital B,ENTREE 4.79,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,117,833.3599910736084
Hospital B,BREAKFAST TACO,BVC -TOPOCHICO MINERAL WATER-20OZ,134,833.1699876785278
Hospital B,CHORIZO,EGGS,236,832.0199992656708
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,QUESADILLA MEAT,64,828.9999747276306
Hospital B,FRESH FRUIT,SMARTWATER 1L,46,828.2800009250641
Hospital B,BACON 1 SLICE,HOME FRIES,227,822.9599813222885
Hospital B,HOME FRIES,OMELET,120,818.6699917316437
Hospital B,ENTREE 4.79,GOURMET CAKE,108,815.5499968528748
Hospital B,FRIES,QUESADILLA CHEESE,103,814.8900125026703
Hospital B,BURGER CHEESE,QUESADILLA MEAT,47,810.0000004768372
Hospital B,BACON 3 SLICES,BREAKFAST TACO,136,806.7899875640869
Hospital B,GOURMET CAKE,MIX IT UP SALAD,78,801.9799830913544
Hospital B,MEDITERRANEAN,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,80,801.8399791717529
Hospital B,BREAKFAST TACO,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,133,795.1099882125854
Hospital A,ADD A BEVERAGE $1,SUPERFOOD SALAD,95,794.5699787139893
Hospital A,ADD A BEVERAGE $1,RICE KRISPIES,84,790.4800033569336
Hospital A,ADD A BEVERAGE $1,PASTA BOWL,79,786.2199821472168
Hospital B,GOURMET CAKE,SIDE 1.29,181,785.3699924945831
Hospital B,BACON 3 SLICES,COFFEE 20OZ,109,771.7299871444702
Hospital B,FRIES SWEET POTATO,SANDWICH CHICKEN BREAST,95,770.2499940395355
Hospital B,BREAKFAST TACO,SAUSAGE PATTY,107,769.5899839401245
Hospital B,BAKED SWEET POTATO,ENTREE 4.29,61,768.079999923706
Hospital B,GRILL TOPPINGS,SANDWICH CHICKEN BREAST,143,761.4200093746185
Hospital B,BACON 3 SLICES,HARD BOILED EGG,113,750.9699811935425
Hospital B,BACON 3 SLICES,SMARTWATER 1L,51,743.5799984931946
Hospital A,ENTREE PASTA,GARLIC KNOTS,82,742.6699781417847
Hospital B,ENTREE 4.79,TOPO CHICO TWIST OF LIME 20OZ,105,740.8999919891357
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,CARVED-DELI,73,740.0499811172485
Hospital B,BREAKFAST TACO,COFFEE 20OZ,78,739.25998878479
Hospital B,ENTREE 4.99,GOURMET CAKE,41,733.3199715614319
Hospital B,BURGER CHEESE,CHICKEN TENDERS 3,61,728.7099978923798
Hospital A,ADD A BEVERAGE $1,SOUP 12OZ,112,726.3200130462646
Hospital B,EGGS,WATER SMARTWATER 20OZ,166,725.9900169372559
Hospital B,CARVED-DELI,SMARTWATER 1L,37,725.659991979599
Hospital B,CHICKEN BREAST GRILLED,SIDE 1.29,146,720.8899869918823
Hospital B,SIDE 1.99,SMARTWATER 1L,50,719.5099995136261
Hospital A,ADD A BEVERAGE $1,SPECIALITY EGGS,204,719.4700019359589
Hospital B,BISCUIT,COFFEE 12OZ,116,707.3999993801117
Hospital B,BREAKFAST TACO,WATER SMARTWATER 20OZ,109,704.5200026035309
Hospital B,BREAKFAST TACO,DASANI WATER 20OZ,123,700.7199938297272
Hospital B,COFFEE 16OZ,OMELET,82,695.629992723465
Hospital B,FRIES,GOURMET CAKE,139,694.9100027084351
Hospital A,ADD A BEVERAGE $1,CHOC BAG 2.99,165,688.2900018692017
Hospital B,FRIES SWEET POTATO,GRILL TOPPINGS,122,683.1299738883972
Hospital B,MIX IT UP SALAD,SOUP 8 OZ,70,680.6299850940704
Hospital B,BURGER,SIDE 1.29,82,679.4399909973145
Hospital A,ADD A BEVERAGE $1,SMALL GARDEN SALAD,98,679.0600018501282
Hospital B,QUESADILLA MEAT,WATER SMARTWATER 20OZ,51,677.7599890232086
Hospital B,ENT -PREMIUM SIDE 1.39,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,178,674.9899905920029
Hospital B,CHICKEN TENDERS 3,FRIES SWEET POTATO,85,674.8099777698517
Hospital B,BACON 1 SLICE,BISCUIT,219,673.5600039958954
Hospital B,DASANI WATER 20OZ,SIDE 1.29,219,671.9199914932251
Hospital B,GRILLED CHEESE,ONION RINGS,94,670.7899849414825
Hospital A,ADD A BEVERAGE $1,ASIAN MIX IT UP,73,659.269983291626
Hospital B,ENT -PREMIUM SIDE 1.39,TOPO CHICO TWIST OF LIME 20OZ,172,656.0199906826019
Hospital B,BURGER CHEESE,TOPO CHICO TWIST OF LIME 20OZ,58,651.5899987220764
Hospital B,BAKED SWEET POTATO,SALMON ENTRÉE,44,649.839991569519
Hospital B,NABISCO OREO,SMARTWATER 1L,35,648.6600000858307
Hospital B,BREAKFAST TACO,HOME FRIES,106,646.9199867248535
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,ENT -PREMIUM SIDE 1.39,167,636.3099910020828
Hospital B,BACON 1 SLICE,BISCUIT W/GRAVY,126,629.8000048398972
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,MEDITERRANEAN,62,629.3699836730957
Hospital B,TAILGATE.,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,61,624.7899837493896
Hospital B,CHICKEN TENDERS 3,SIDE 1.29,124,624.0399901866913
Hospital B,COFFEE 20OZ,SAUSAGE PATTY,69,622.9799861907959
Hospital B,BURGER,GRILL TOPPINGS,64,619.7699918746948
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,TAILGATE.,60,613.3899841308594
Hospital B,BAKED SWEET POTATO,SIDE 1.99,60,610.9300029277802
Hospital B,COFFEE 12OZ,REFRIED BEANS,120,608.0699936151505
Hospital A,ADD A BEVERAGE $1,BROWNIES,121,605.5800023078918
Hospital A,ADD A BEVERAGE $1,ENTREE PASTA,86,605.1399803161621
Hospital A,ADD A BEVERAGE $1,SALAD CAESAR,95,603.0799789428711
Hospital B,TAILGATE.,TOPO CHICO TWIST OF LIME 20OZ,58,600.8199844360352
Hospital B,ENT -PREMIUM SIDE 1.39,SMARTWATER 1L,44,599.8999983072281
Hospital B,CHORIZO,HOME FRIES,117,599.8799858093262
Hospital B,GOURMET CAKE,SMARTWATER 1L,35,595.2099964618683
Hospital B,ENTREE 5.99,SIDE 1.99,45,592.7099812030792
Hospital B,SALMON ENTRÉE,SOUP 8 OZ,65,592.6799855232239
Hospital B,BURGER VEGGIES,FRIES,108,588.5900049209595
Hospital B,BURGER CHEESE,SIDE 1.29,61,585.0599985122681
Hospital B,BREAKFAST TACO,MINUTE MAID ORANGE NO PULP,94,577.4399931430817
Hospital B,ENTREE 4.29,GOURMET CAKE,83,576.2999975681305
Hospital B,PANCAKE 1,SAUSAGE PATTY,76,573.4799938201904
Hospital B,BISCUIT,COFFEE 16OZ,86,570.5599918365479
Hospital B,BOTTLE DR. PEPPER 20OZ,BREAKFAST TACO,81,569.8799939155579
Hospital B,BURGER,BVC -TOPOCHICO MINERAL WATER-20OZ,56,569.4599933624268
Hospital B,ENTREE 4.99,TOPO CHICO TWIST OF LIME 20OZ,32,567.2899761199951
Hospital B,BOTTLE DR. PEPPER 20OZ,QUESADILLA MEAT,41,557.9999878406525
Hospital B,ENT -PREMIUM SIDE 1.39,SOUP 8 OZ,156,556.2799991369247
Hospital B,OMELET,SAUSAGE PATTY,69,556.0799932479858
Hospital B,BACON 1 SLICE,BACON 3 SLICES,188,554.5799918174744
Hospital B,ENTREE 4.79,ENTREE 4.99,31,553.879979133606
Hospital B,BISCUIT W/GRAVY,BREAKFAST TACO,69,551.0699980258942
Hospital B,COKE ZERO BOTTLE 20 OZ,QUESADILLA MEAT,46,551.0399835109711
Hospital B,FRIES,GRILLED HAM & CHEESE,66,549.3699948787689
Hospital B,BISCUIT W/GRAVY,COFFEE 12OZ,67,545.4799981117249
Hospital A,FRUIT CUPS,OATMEAL SMALL,51,543.9000024795532
Hospital B,GOURMET CAKE,TAILGATE.,51,541.9499888420105
Hospital B,BREAD .99,ENTREE 4.79,89,539.3599972724915
Hospital B,HARD BOILED EGG,SMARTWATER 1L,32,539.3499970436096
Hospital B,ENT-BAKED POTATO,SIDE 1.29,151,535.6999905109406
Hospital B,DASANI WATER 20OZ,QUESADILLA MEAT,44,535.1499831676483
Hospital B,ENT -PREMIUM SIDE 1.39,WATER SMARTWATER 20OZ,115,534.8800058364868
Hospital B,MEDITERRANEAN,SMARTWATER 1L,26,529.5399947166443
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,EGGS,151,526.0799992084503
Hospital B,ENTREE 4.29,SMARTWATER 1L,32,523.7899980545044
Hospital B,GOURMET CAKE,MEDITERRANEAN,49,520.9899890422821
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,ENTREE 4.29,85,520.1399955749512
Hospital B,MEDITERRANEAN,TOPO CHICO TWIST OF LIME 20OZ,50,513.9999866485596
Hospital B,CARVED-DELI,SIDE 1.29,60,513.0699853897095
Hospital B,SABOR CAFE,TOPO CHICO TWIST OF LIME 20OZ,50,511.70998668670654
Hospital B,HOME FRIES,SMARTWATER 1L,34,504.63999795913696
Hospital B,ADD BURGER PATTY,SIDE 1.29,124,501.899995803833
Hospital B,ENT-BAKED POTATO,ENTREE 4.79,70,495.7499978542328
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,SIDE 1.99,113,493.8899965286255
Hospital A,ADD A BEVERAGE $1,ENTREE 4.59,50,492.6400146484375
Hospital B,GRILL TOPPINGS,GRILLED CHEESE,75,491.71998405456543
Hospital B,BURGER CHEESE,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,46,489.5599989891052
Hospital B,BACON 3 SLICES,BVC -TOPOCHICO MINERAL WATER-20OZ,106,489.3599910736084
Hospital B,EGGS,TOPO CHICO TWIST OF LIME 20OZ,133,487.2699987888336
Hospital A,COTTAGE CHEESE CUP,FRUIT CUPS,46,482.560001373291
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,SALMON ENTRÉE,52,477.9799861907959
Hospital B,SABOR CAFE,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,49,477.45998764038086
Hospital B,BURGER CHEESE,BVC -TOPOCHICO MINERAL WATER-20OZ,47,476.9999990463257
Hospital B,OMELET,PANCAKE 1,61,471.9400019645691
Hospital B,CHICKEN TENDERS 3,GOURMET CAKE,74,469.5499939918518
Hospital B,BACON 3 SLICES,WATER SMARTWATER 20OZ,86,466.12000131607056
Hospital A,ADD A BEVERAGE $1,GREEK BOWL,51,465.47998809814453
Hospital A,ADD A BEVERAGE $1,YOGURT CUPS,67,464.6800012588501
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,ENTREE 5.99,31,463.50998401641846
Hospital B,DASANI WATER 20OZ,MIX IT UP SALAD,49,463.0299892425537
Hospital B,ENTREE 4.99,SMARTWATER 1L,17,462.33998799324036
Hospital B,BISCUIT,BREAKFAST TACO,84,462.05999755859375
Hospital B,CEREAL HOT 8OZ,EGGS,209,461.5600094795227
Hospital B,SALMON ENTRÉE,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,51,459.4199867248535
Hospital B,HASH BROWNS,REFRIED BEANS,114,459.23998641967773
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,SABOR CAFE,47,459.1899881362915
Hospital B,BREAKFAST TACO,TOPO CHICO TWIST OF LIME 20OZ,70,453.2499933242798
Hospital B,BACON 3 SLICES,EGG SCRAMBLE,86,452.8200001716614
Hospital B,COFFEE 16OZ,WATER SMARTWATER 20OZ,61,449.8800036907196
Hospital A,FRUIT CUPS,FRUIT WHOLE,49,447.82000267505646
Hospital B,GOURMET CAKE,SIDE 1.99,97,446.50000190734863
Hospital B,BISCUIT W/GRAVY,OMELET,52,444.05999994277954
Hospital B,BISCUIT W/GRAVY,REFRIED BEANS,74,443.88999605178833
Hospital B,FRESH FRUIT,MIX IT UP SALAD,38,443.26999163627625
Hospital B,FRESH FRUIT,GOURMET CAKE,66,442.11000084877014
Hospital B,BREAKFAST TACO,CEREAL HOT 8OZ,96,441.9899961948395
Hospital B,ENTREE 4.79,MIX IT UP SALAD,39,439.2899913787842
Hospital B,LARGE M&M COOKIE,MIX IT UP SALAD,44,439.1199903488159
Hospital B,ENTREE 5.99,TOPO CHICO TWIST OF LIME 20OZ,28,437.78998470306396
Hospital A,TACO BAR,WHOLE AVOCADO,15,437.2199878692627
Hospital B,BOTTLE DR. PEPPER 20OZ,BURGER CHEESE,37,435.9599997997284
Hospital B,BOTTLE COKE DIET 20OZ,ENTREE 4.29,55,435.7799963951111
Hospital B,ENT -PREMIUM SIDE 1.39,MIX IT UP SALAD,53,430.7899891138077
Hospital B,EGG SCRAMBLE,SMARTWATER 1L,27,429.2400019168854
Hospital B,COFFEE 20OZ,HOME FRIES,54,428.43999099731445
Hospital B,CHICKEN TENDERS 3,ONION RINGS,73,419.2999949455261
Hospital B,QUESADILLA MEAT,SIDE 1.29,41,419.00999212265015
Hospital B,SIDE 1.99,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,97,418.53999733924866
Hospital B,BOTTLE COKE DIET 20OZ,SIDE 1.29,76,414.98999404907227
Hospital B,BURGER CHEESE,LARGE M&M COOKIE,38,414.76000118255615
Hospital B,ENTREE 4.99,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,24,414.23998260498047
Hospital A,ADD A BEVERAGE $1,GRIL LVEGGIE QUESADILLA,82,414.18000078201294
Hospital B,BREAKFAST TACO,PANCAKE 1,56,413.9199981689453
Hospital B,BISCUIT,BISCUIT W/GRAVY,77,413.8000054359436
Hospital B,BURGER,BURGER CHEESE,30,412.53999853134155
Hospital B,SABOR CAFE,SMARTWATER 1L,21,412.30999636650085
Hospital B,COKE ZERO BOTTLE 20 OZ,ENTREE 4.29,70,410.2799965143204
Hospital B,BOTTLE COKE,BURGER CHEESE,38,406.98000025749207
Hospital B,BURGER,TOPO CHICO TWIST OF LIME 20OZ,41,406.9599952697754
Hospital B,BISCUIT W/GRAVY,HASH BROWNS,57,406.67999362945557
Hospital B,CARVED-DELI,FRESH FRUIT,34,403.3299925327301
Hospital B,ENTREE 5.99,GOURMET CAKE,29,403.13998794555664
Hospital B,ENTREE 5.99,SMARTWATER 1L,17,402.3799932003021
Hospital B,CARVED-DELI,SOUP 8 OZ,41,402.20999121665955
Hospital B,BISCUIT W/GRAVY,COFFEE 16OZ,48,400.95999240875244
Hospital B,BOTTLE DR. PEPPER 20OZ,ENTREE 4.29,51,400.73999667167664
Hospital B,EGGS,FRESH FRUIT,76,395.8900034427643
Hospital B,COFFEE 16OZ,REFRIED BEANS,70,395.79998767375946
Hospital B,ENTREE 5.99,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,25,394.9799861907959
Hospital B,BISCUIT W/GRAVY,COFFEE 20OZ,39,394.6999955177307
Hospital B,BISCUIT,REFRIED BEANS,109,394.4800009727478
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,MIX IT UP SALAD,41,393.3099902868271
Hospital B,GOURMET CAKE,GRILL TOPPINGS,90,393.11999702453613
Hospital B,SIDE 1.99,SOUP 8 OZ,97,392.0300018787384
Hospital B,SIDE 1.99,TOPO CHICO TWIST OF LIME 20OZ,89,389.4799973964691
Hospital B,HOME FRIES,WATER SMARTWATER 20OZ,67,388.49999928474426
Hospital B,QUESADILLA CHEESE,QUESADILLA MEAT,34,385.7799987792969
Hospital B,BURGER,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,38,384.9299955368042
Hospital B,CARVED-DELI,WATER SMARTWATER 20OZ,36,384.85999369621277
Hospital B,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,WATER SMARTWATER 20OZ,67,384.30000162124634
Hospital B,CEREAL HOT 8OZ,COFFEE 12OZ,82,383.5799984931946
Hospital B,FRIES,HOT DOG,81,382.1299936771393
Hospital B,FRESH FRUIT,SIDE 1.29,65,381.8999969959259
Hospital B,ENTREE 4.29,FRIES,60,377.10999822616577
Hospital B,BREAKFAST TACO,OMELET,61,376.8599979877472
Hospital B,BURGER CHEESE,DASANI WATER 20OZ,36,375.8200008869171
Hospital B,BURGER CHEESE,SANDWICH CHICKEN BREAST,36,375.750004529953
Hospital B,MIX IT UP SALAD,TAILGATE.,36,375.5299892425537
Hospital A,ADD A BEVERAGE $1,COOKIES,144,375.19000470638275
Hospital B,BREAD .59,ENTREE 4.79,61,374.82999563217163
Hospital B,COFFEE 16OZ,EGG SCRAMBLE,51,374.55999422073364
Hospital B,ONION RINGS,SANDWICH CHICKEN BREAST,62,374.330007314682
Hospital B,DASANI WATER 20OZ,ENT -PREMIUM SIDE 1.39,128,370.2199991941452
Hospital B,SIDE 1.99,TAILGATE.,36,369.25999188423157
Hospital B,BREAKFAST TACO,SMARTWATER 1L,24,368.9799978733063
Hospital B,BURGER,FRIES SWEET POTATO,31,368.73999214172363
Hospital B,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,ENTREE 4.29,53,368.0399935245514
Hospital B,ADD CHEESE,SANDWICH CHICKEN BREAST,84,367.43000960350037
Hospital B,BOTTLE DR. PEPPER 20OZ,SIDE 1.29,76,366.77999472618103
Hospital B,COFFEE 12OZ,WATER SMARTWATER 20OZ,55,366.4800024032593
Hospital B,BACON 1 SLICE,COFFEE 12OZ,79,365.54999750852585
Hospital B,BURGER TURKEY,FRIES,63,362.8100097179413
Hospital B,FRIES SWEET POTATO,GRILLED CHEESE,39,360.859986782074
Hospital B,GRILL TOPPINGS,ONION RINGS,101,359.39999651908875
Hospital B,BACON 3 SLICES,CEREAL HOT 8OZ,106,358.50999689102173
Hospital B,BURGER CHEESE,COKE ZERO BOTTLE 20 OZ,35,357.63000071048737
Hospital B,SAUSAGE PATTY,WATER SMARTWATER 20OZ,55,357.47999811172485
Hospital B,BACON 1 SLICE,HARD BOILED EGG,67,356.7299910187721
Hospital B,SALMON ENTRÉE,SMARTWATER 1L,19,355.7199947834015
Hospital B,EGG SCRAMBLE,HASH BROWNS,59,355.16999864578247
Hospital B,BURGER CHEESE,FRESH FRUIT,29,355.11000084877014
Hospital B,COFFEE 12OZ,SMARTWATER 1L,21,354.2099995613098
